cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
21020,37143, ,Perquimans NC,"Elizabeth City, NC (Micro)",13453,0.21
21060,21093, ,Hardin KY,"Elizabethtown-Fort Knox, KY (Metro)",105543,0.712
21060,21123, ,Larue KY,"Elizabethtown-Fort Knox, KY (Metro)",14193,0.096
21060,21163, ,Meade KY,"Elizabethtown-Fort Knox, KY (Metro)",28602,0.193
21120,40009, ,Beckham OK,"Elk City, OK (Micro)",22119,1
21140,18039, ,Elkhart IN,"Elkhart-Goshen, IN (Metro)",197559,1
21180,54083, ,Randolph WV,"Elkins, WV (Micro)",29405,1
21220,32007, ,Elko NV,"Elko, NV (Micro)",48818,0.961
21220,32011, ,Eureka NV,"Elko, NV (Micro)",1987,0.039
21260,53037, ,Kittitas WA,"Ellensburg, WA (Micro)",40915,1
21300,36015, ,Chemung NY,"Elmira, NY (Metro)",88830,1
21340,48141, ,El Paso TX,"El Paso, TX (Metro)",800647,0.996
21340,48229, ,Hudspeth TX,"El Paso, TX (Metro)",3476,0.004
21380,20111, ,Lyon KS,"Emporia, KS (Micro)",33690,1
21420,40047, ,Garfield OK,"Enid, OK (Metro)",60580,1
21460,1031, ,Coffee AL,"Enterprise, AL (Micro)",49948,1
21500,42049, ,Erie PA,"Erie, PA (Metro)",280566,1
21540,26041, ,Delta MI,"Escanaba, MI (Micro)",37069,1
21580,35039, ,Rio Arriba NM,"Espa–ola, NM (Micro)",40246,1
21640,1005, ,Barbour AL,"Eufaula, AL-GA (Micro)",27457,0.916
21640,13239, ,Quitman GA,"Eufaula, AL-GA (Micro)",2513,0.084
21660,41039, ,Lane OR,"Eugene, OR (Metro)",351715,1
21700,6023, ,Humboldt CA,"Eureka-Arcata-Fortuna, CA (Micro)",134623,1
21740,56041, ,Uinta WY,"Evanston, WY (Micro)",21118,1
21780,18129, ,Posey IN,"Evansville, IN-KY (Metro)",25910,0.083
21780,18163, ,Vanderburgh IN,"Evansville, IN-KY (Metro)",179703,0.577
21780,18173, ,Warrick IN,"Evansville, IN-KY (Metro)",59689,0.192
21780,21101, ,Henderson KY,"Evansville, IN-KY (Metro)",46250,0.148
21820,2090, ,Fairbanks North Star Borough AK,"Fairbanks, AK (Metro)",97581,1
21840,19101, ,Jefferson IA,"Fairfield, IA (Micro)",16843,1
21860,27091, ,Martin MN,"Fairmont, MN (Micro)",20840,1
21900,54049, ,Marion WV,"Fairmont, WV (Micro)",56418,1
21980,32001, ,Churchill NV,"Fallon, NV (Micro)",24877,1
22020,27027, ,Clay MN,"Fargo, ND-MN (Metro)",58999,0.283
22020,38017, ,Cass ND,"Fargo, ND-MN (Metro)",149778,0.717
22060,27131, ,Rice MN,"Faribault-Northfield, MN (Micro)",64142,1
22100,29187, ,St. Francois MO,"Farmington, MO (Micro)",65359,1
22140,35045, ,San Juan NM,"Farmington, NM (Metro)",130044,1
22180,37051, ,Cumberland NC,"Fayetteville, NC (Metro)",319431,0.872
22180,37093, ,Hoke NC,"Fayetteville, NC (Metro)",46952,0.128
22220,5007, ,Benton AR,"Fayetteville-Springdale-Rogers, AR-MO (Metro)",221339,0.478
22220,5087, ,Madison AR,"Fayetteville-Springdale-Rogers, AR-MO (Metro)",15717,0.034
22220,5143, ,Washington AR,"Fayetteville-Springdale-Rogers, AR-MO (Metro)",203065,0.438
22220,29119, ,McDonald MO,"Fayetteville-Springdale-Rogers, AR-MO (Metro)",23083,0.05
22260,27111, ,Otter Tail MN,"Fergus Falls, MN (Micro)",57303,1
22280,32019, ,Lyon NV,"Fernley, NV (Micro)",51980,1
22300,39063, ,Hancock OH,"Findlay, OH (Micro)",74782,1
22340,13017, ,Ben Hill GA,"Fitzgerald, GA (Micro)",17634,1
22380,4005, ,Coconino AZ,"Flagstaff, AZ (Metro)",134421,1
22420,26049, ,Genesee MI,"Flint, MI (Metro)",425790,1
22500,45031, ,Darlington SC,"Florence, SC (Metro)",68681,0.334
22500,45041, ,Florence SC,"Florence, SC (Metro)",136885,0.666
22520,1033, ,Colbert AL,"Florence-Muscle Shoals, AL (Metro)",54428,0.37
22520,1077, ,Lauderdale AL,"Florence-Muscle Shoals, AL (Metro)",92709,0.63
22540,55039, ,Fond du Lac WI,"Fond du Lac, WI (Metro)",101633,1
22580,37161, ,Rutherford NC,"Forest City, NC (Micro)",67810,1
22620,5123, ,St. Francis AR,"Forrest City, AR (Micro)",28258,1
22660,8069, ,Larimer CO,"Fort Collins, CO (Metro)",299630,1
22700,19187, ,Webster IA,"Fort Dodge, IA (Micro)",38013,1
22780,29169, ,Pulaski MO,"Fort Leonard Wood, MO (Micro)",52274,1
