STATE,LOGRECNO,GEOID,Name
US,0040954,86000US92121,ZCTA5 92121
US,0040955,86000US92122,ZCTA5 92122
US,0040956,86000US92123,ZCTA5 92123
US,0040957,86000US92124,ZCTA5 92124
US,0040958,86000US92126,ZCTA5 92126
US,0040959,86000US92127,ZCTA5 92127
US,0040960,86000US92128,ZCTA5 92128
US,0040961,86000US92129,ZCTA5 92129
US,0040962,86000US92130,ZCTA5 92130
US,0040963,86000US92131,ZCTA5 92131
US,0040964,86000US92132,ZCTA5 92132
US,0040965,86000US92134,ZCTA5 92134
US,0040966,86000US92135,ZCTA5 92135
US,0040967,86000US92139,ZCTA5 92139
US,0040968,86000US92140,ZCTA5 92140
US,0040969,86000US92145,ZCTA5 92145
US,0040970,86000US92147,ZCTA5 92147
US,0040971,86000US92154,ZCTA5 92154
US,0040972,86000US92155,ZCTA5 92155
US,0040973,86000US92173,ZCTA5 92173
US,0040974,86000US92201,ZCTA5 92201
US,0040975,86000US92203,ZCTA5 92203
US,0040976,86000US92210,ZCTA5 92210
US,0040977,86000US92211,ZCTA5 92211
US,0040978,86000US92220,ZCTA5 92220
US,0040979,86000US92222,ZCTA5 92222
US,0040980,86000US92223,ZCTA5 92223
US,0040981,86000US92225,ZCTA5 92225
US,0040982,86000US92227,ZCTA5 92227
US,0040983,86000US92230,ZCTA5 92230
US,0040984,86000US92231,ZCTA5 92231
US,0040985,86000US92233,ZCTA5 92233
US,0040986,86000US92234,ZCTA5 92234
US,0040987,86000US92236,ZCTA5 92236
US,0040988,86000US92239,ZCTA5 92239
US,0040989,86000US92240,ZCTA5 92240
US,0040990,86000US92241,ZCTA5 92241
US,0040991,86000US92242,ZCTA5 92242
US,0040992,86000US92243,ZCTA5 92243
US,0040993,86000US92249,ZCTA5 92249
US,0040994,86000US92250,ZCTA5 92250
US,0040995,86000US92251,ZCTA5 92251
US,0040996,86000US92252,ZCTA5 92252
US,0040997,86000US92253,ZCTA5 92253
US,0040998,86000US92254,ZCTA5 92254
US,0040999,86000US92256,ZCTA5 92256
US,0041000,86000US92257,ZCTA5 92257
US,0041001,86000US92258,ZCTA5 92258
US,0041002,86000US92259,ZCTA5 92259
US,0041003,86000US92260,ZCTA5 92260
US,0041004,86000US92262,ZCTA5 92262
US,0041005,86000US92264,ZCTA5 92264
US,0041006,86000US92266,ZCTA5 92266
US,0041007,86000US92267,ZCTA5 92267
US,0041008,86000US92268,ZCTA5 92268
US,0041009,86000US92270,ZCTA5 92270
US,0041010,86000US92273,ZCTA5 92273
US,0041011,86000US92274,ZCTA5 92274
US,0041012,86000US92275,ZCTA5 92275
US,0041013,86000US92276,ZCTA5 92276
US,0041014,86000US92277,ZCTA5 92277
US,0041015,86000US92278,ZCTA5 92278
US,0041016,86000US92280,ZCTA5 92280
US,0041017,86000US92281,ZCTA5 92281
US,0041018,86000US92282,ZCTA5 92282
US,0041019,86000US92283,ZCTA5 92283
US,0041020,86000US92284,ZCTA5 92284
US,0041021,86000US92285,ZCTA5 92285
US,0041022,86000US92301,ZCTA5 92301
US,0041023,86000US92304,ZCTA5 92304
US,0041024,86000US92305,ZCTA5 92305
US,0041025,86000US92307,ZCTA5 92307
US,0041026,86000US92308,ZCTA5 92308
US,0041027,86000US92309,ZCTA5 92309
US,0041028,86000US92310,ZCTA5 92310
US,0041029,86000US92311,ZCTA5 92311
US,0041030,86000US92313,ZCTA5 92313
US,0041031,86000US92314,ZCTA5 92314
US,0041032,86000US92315,ZCTA5 92315
US,0041033,86000US92316,ZCTA5 92316
US,0041034,86000US92320,ZCTA5 92320
US,0041035,86000US92321,ZCTA5 92321
US,0041036,86000US92322,ZCTA5 92322
US,0041037,86000US92324,ZCTA5 92324
US,0041038,86000US92325,ZCTA5 92325
US,0041039,86000US92327,ZCTA5 92327
US,0041040,86000US92328,ZCTA5 92328
US,0041041,86000US92332,ZCTA5 92332
US,0041042,86000US92333,ZCTA5 92333
US,0041043,86000US92335,ZCTA5 92335
US,0041044,86000US92336,ZCTA5 92336
US,0041045,86000US92337,ZCTA5 92337
US,0041046,86000US92338,ZCTA5 92338
US,0041047,86000US92339,ZCTA5 92339
US,0041048,86000US92341,ZCTA5 92341
US,0041049,86000US92342,ZCTA5 92342
US,0041050,86000US92344,ZCTA5 92344
US,0041051,86000US92345,ZCTA5 92345
US,0041052,86000US92346,ZCTA5 92346
US,0041053,86000US92347,ZCTA5 92347
US,0041054,86000US92352,ZCTA5 92352
US,0041055,86000US92354,ZCTA5 92354
US,0041056,86000US92356,ZCTA5 92356
US,0041057,86000US92358,ZCTA5 92358
US,0041058,86000US92359,ZCTA5 92359
US,0041059,86000US92363,ZCTA5 92363
